"Source:","/home/kolbe/Arduino/ESP32-Alarm-clock/hardware/pcb/mp3alarm/mp3alarm.kicad_sch"
"Date:","Fri 08 Dec 2023 22:23:44 CET"
"Tool:","Eeschema 7.0.9-7.0.9~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","69"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","DESCRIPTION","HEIGHT","MANUFACTURER_NAME","MANUFACTURER_PART_NUMBER","MOUSER_PART_NUMBER","MOUSER_PRICE-STOCK"
"1","2","C1, C21","1nF","Device:C_Small","Capacitor_SMD:C_1206_3216Metric","~","","","","","","",""
"2","2","C2, C7","1uF","Device:C_Small","Capacitor_SMD:C_1206_3216Metric","~","","","","","","",""
"3","6","C3, C4, C5, C12, C14, C20","10uF","Device:C_Small","Capacitor_SMD:C_1206_3216Metric","~","","","","","","",""
"4","1","C6","22uF","Device:C_Small","Capacitor_SMD:C_1206_3216Metric","~","","","","","","",""
"5","4","C10, C11, C13, C19","0.1uF","Device:C_Small","Capacitor_SMD:C_1206_3216Metric","~","","","","","","",""
"6","2","C15, C16","47uF","Device:C_Polarized_Small","Capacitor_SMD:C_Elec_6.3x5.4","~","","","","","","",""
"7","2","C17, C18","0.01uF","Device:C_Small","Capacitor_SMD:C_1206_3216Metric","~","","","","","","",""
"8","2","D1, D2","WS2812B","LED:WS2812B","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf","","","","","","",""
"9","1","D3","D_Schottky","Device:D_Schottky","Diode_SMD:D_0805_2012Metric","~","","","","","","",""
"10","1","D4","PWR","Device:LED","LED_SMD:LED_0805_2012Metric","~","","","","","","",""
"11","2","FB1, FB2","FerriteBead_Small","Device:FerriteBead_Small","Resistor_SMD:R_0805_2012Metric","~","","","","","","",""
"12","4","H1, H2, H3, H4","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad","~","","","","","","",""
"13","1","IC1","RDA5807FP","mp3-alarm:RDA5807FP","Package_SO:SOP-16_3.9x9.9mm_P1.27mm","","","","","","","",""
"14","1","J1","AUDIO","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","",""
"15","1","J2","SW0","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","",""
"16","1","J3","SW1","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","",""
"17","1","J4","AudioJack3","Connector_Audio:AudioJack3","footprints:PJ-313","~","","","","","","",""
"18","1","J5","I2C","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","","","",""
"19","1","J6","TM1637","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","","","",""
"20","1","J7","microSD","mp3alarm-rescue:105162-0001-105162-0001","pcb:105162-0001","","","Memory Card Connectors 1.45H MICRO SD HEADER WITH D/C PIN","mm","Molex","105162-0001","538-105162-0001","https://www.mouser.co.uk/ProductDetail/Molex/105162-0001?qs=1fNsfHe5VsK8daqlgKxZfQ%3D%3D"
"21","1","J8","5V","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","",""
"22","1","J9","ANT","Connector:Conn_01x01_Male","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","","","","","","",""
"23","1","J10","Conn_Coaxial","Connector:Conn_Coaxial","Connector:F_Sat_Connector"," ~","","","","","","",""
"24","1","J11","USB_C_Receptacle_USB2.0","Connector:USB_C_Receptacle_USB2.0","Connector_USB:USB_C_Receptacle_JAE_DX07S016JA1R1500","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","","","","","","",""
"25","1","R1","500","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","",""
"26","14","R2, R3, R8, R11, R12, R13, R14, R15, R19, R20, R21, R22, R23, R24","10k","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","",""
"27","2","R6, R7","5k1","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","",""
"28","1","R9","680","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","",""
"29","2","R10, R16","220k","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","",""
"30","2","R17, R18","100","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","",""
"31","1","SW1","SW_RST","Switch:SW_Push","Button_Switch_SMD:SW_SPST_CK_RS282G05A3","~","","","","","","",""
"32","1","SW2","SW_BOOT","Switch:SW_Push","Button_Switch_SMD:SW_SPST_CK_RS282G05A3","~","","","","","","",""
"33","1","U2","UDA1334ATS","Audio:UDA1334ATS","Package_SO:SSOP-16_4.4x5.2mm_P0.65mm","http://www.nxp.com/docs/en/data-sheet/UDA1334ATS.pdf","","","","","","",""
"34","1","U3","ESP32-S3-WROOM-1","PCM_Espressif:ESP32-S3-WROOM-1","PCM_Espressif:ESP32-S3-WROOM-1","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf","","","","","","",""
"35","1","U4","AMS1117-3.3","Regulator_Linear:AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf","","","","","","",""
"36","1","Y1","Crystal","Device:Crystal","Crystal:Crystal_SMD_2012-2Pin_2.0x1.2mm","~","","","","","","",""
